ID,Slope,Yintercept,Lower Intercept,Upper Intercept,Likelihood,normalized
17296,0.0457494314089522,0.10304620202737,1.25e+09,1.71e+09,1526.9580273891,6.75645144862431
17297,0.0455433910963623,0.103545822284063,1.25e+09,1.72e+09,1518.06430523517,6.71709869573084
17298,0.0453379252470999,0.104044049543863,1.25e+09,1.73e+09,1509.24865978577,6.6780914149813
17299,0.0451330346311422,0.104540881939679,1.25e+09,1.74e+09,1500.46900038688,6.63924336454373
17300,0.044928720002662,0.105036317642742,1.25e+09,1.75e+09,1491.6888279762,6.60039304414249
17301,0.0447249821000206,0.105530354862625,1.25e+09,1.76e+09,1482.87753746919,6.56140503304951
17302,0.0445218216457616,0.106022991847256,1.25e+09,1.77e+09,1474.01055118757,6.52217058047599
17303,0.0443192393466052,0.106514226882932,1.25e+09,1.78e+09,1465.06927891996,6.4826074288494
17304,0.0441172358934446,0.107004058294331,1.25e+09,1.79e+09,1456.04090677898,6.44265887955303
17305,0.043915811961343,0.107492484444513,1.25e+09,1.8e+09,1446.91802367657,6.40229214016181
17306,0.0437149682095318,0.107979503734931,1.25e+09,1.81e+09,1437.69810064342,6.36149602054608
17307,0.0435147052814097,0.108465114605428,1.25e+09,1.82e+09,1428.38284404999,6.32027807101765
17308,0.0433150238045438,0.108949315534239,1.25e+09,1.83e+09,1418.97744875378,6.27866127767161
17309,0.0431159243906704,0.109432105037984,1.25e+09,1.84e+09,1409.48978105539,6.23668044714773
