Lower Intercept,Likelihood
1.57e+09,2.90911458510737
1.58e+09,2.84563745652751
1.59e+09,2.78835783566401
1.6e+09,2.73597102273981
1.61e+09,2.68711307488946
1.62e+09,2.64044321500277
1.63e+09,2.59469197530698
1.64e+09,2.54867637391766
1.65e+09,2.50129181189924
1.66e+09,2.45149541728382
1.67e+09,2.39829688941802
1.68e+09,2.34077035901805
1.69e+09,2.27809469624844
1.7e+09,2.209621116
1.71e+09,2.13495765126415
1.72e+09,2.05405238348252
1.73e+09,1.96725347650102
1.74e+09,1.87532560604212
1.75e+09,1.77940959893106
1.76e+09,1.68092374701893
1.77e+09,1.58141869355278
1.78e+09,1.48240955885736
1.79e+09,1.38521577007849
1.8e+09,1.29083873835953
1.81e+09,1.19989985153522
1.82e+09,1.11264808595256
1.83e+09,1.02903134282962
1.84e+09,0.948812367661912
1.85e+09,0.871702089962804
1.86e+09,0.797482031452629
1.87e+09,0.726092674097018
1.88e+09,0.657674309454844
1.89e+09,0.592558053612122
1.9e+09,0.531214685057767
1.91e+09,0.474175847234421
1.92e+09,0.421945148236465
1.93e+09,0.374915967928936
1.94e+09,0.333309195598422
1.95e+09,0.297138836439862
1.96e+09,0.266207653035764
1.97e+09,0.240129812584002
1.98e+09,0.218373682391691
1.99e+09,0.200315889492369
