Lower Intercept,Likelihood,n.lines,normalized.sum.likelihood
1.44e+09,191.268596605484,56,3.41551065366935
1.45e+09,182.109626306292,55,3.31108411465985
1.46e+09,173.590399108934,54,3.21463702053581
1.47e+09,165.640192280156,53,3.1252866467954
1.48e+09,158.195920087248,52,3.04222923244708
1.49e+09,151.202278860757,51,2.96475056589719
1.5e+09,144.610766536,50,2.89221533071999
1.51e+09,138.37801277132,49,2.82404107696571
1.52e+09,132.463980935435,48,2.75966626948824
1.53e+09,126.830544545623,47,2.69852222437495
1.54e+09,121.440743795716,46,2.6400161694721
1.55e+09,116.258781778963,45,2.58352848397694
1.56e+09,111.250612810921,44,2.52842301843002
1.57e+09,106.384859562634,43,2.47406650145661
1.58e+09,101.633779159644,42,2.41985188475344
1.59e+09,96.9740553413265,41,2.36522086198357
1.6e+09,92.3872859225351,40,2.30968214806338
1.61e+09,87.8601283686559,39,2.25282380432451
1.62e+09,83.3841399993799,38,2.19431947366789
1.63e+09,78.9553943867875,37,2.13392957802128
1.64e+09,74.5739717945137,36,2.07149921651427
1.65e+09,70.2434135782681,35,2.0069546736648
1.66e+09,65.9702050552916,34,1.94030014868505
1.67e+09,61.7633162394139,33,1.8716156436186
1.68e+09,57.6337933998087,32,1.80105604374402
1.69e+09,53.5943649444014,31,1.72885048207746
1.7e+09,49.6590097409115,30,1.65530032469705
1.71e+09,45.8424390244656,29,1.58077375946433
1.72e+09,42.1594647506007,28,1.50569516966431
1.73e+09,38.6242631470033,27,1.43052826470382
1.74e+09,35.2495835945898,26,1.35575321517653
1.75e+09,32.0459886992504,25,1.28183954797002
1.76e+09,29.0212306882437,24,1.20921794534349
1.77e+09,26.1798646273436,23,1.13825498379755
1.78e+09,23.5231687875604,22,1.06923494488911
1.79e+09,21.0493920553005,21,1.00235200263336
1.8e+09,18.7542888189571,20,0.937714440947857
1.81e+09,16.6318476845446,19,0.875360404449716
1.82e+09,14.6750852495965,18,0.81528251386647
1.83e+09,12.8767687983242,17,0.757456988136718
1.84e+09,11.2299536308154,16,0.701872101925963
1.85e+09,9.72826563624843,15,0.648551042416562
1.86e+09,8.36591594348718,14,0.597565424534799
1.87e+09,7.13748839254225,13,0.549037568657096
1.88e+09,6.03758048738716,12,0.503131707282264
1.89e+09,5.06039750739552,11,0.460036137035956
1.9e+09,4.19939644831382,10,0.419939644831382
1.91e+09,3.44705532768961,9,0.383006147521068
1.92e+09,2.7948111211066,8,0.349351390138325
1.93e+09,2.23317409600584,7,0.319024870857977
1.94e+09,1.75199457341747,6,0.291999095569578
1.95e+09,1.34083514902431,5,0.268167029804862
1.96e+09,0.989389666324643,4,0.247347416581161
1.97e+09,0.687889903267928,3,0.229296634422643
